car_name,year,selling_price,present_price,kms_driven,fuel_type,seller_type,transmission,owner,car_age,km_per_year,price_per_km,days_to_sell,seller_type_encoded,transmission_encoded,owner_encoded
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,10,2454.5454545454545,0.00012406947890818859,55,0,1,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,11,3583.3333333333335,0.00011046254738261901,55,0,1,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,7,862.5,0.0010505723808143747,47,0,1,0
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,13,371.42857142857144,0.0005479715439338589,64,0,1,0
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,10,3859.090909090909,0.00010836022708534545,53,0,1,0
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,6,295.85714285714283,0.004464285714285714,41,0,1,0
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,9,1879.6,0.00035909985636005745,57,0,1,0
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,9,3342.9,0.0001944361352078971,55,0,1,0
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,8,2252.5555555555557,0.0004315872546118181,45,0,1,0
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,9,4236.7,0.0001758402567975831,54,0,1,0
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,7,266.875,0.0013342696629213484,41,0,1,0
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,9,5100.0,0.00013431109193937373,50,0,1,0
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,9,1500.0,0.0004999666688887407,50,0,0,0
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,9,2600.0,0.0002346063612937964,41,0,1,0
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,15,4839.1875,2.9059255049852766e-05,59,0,1,0
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,8,4777.777777777777,0.00018022836678216787,47,0,1,0
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,9,4167.8,0.00017394851124067276,47,0,1,0
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,8,4777.777777777777,0.00018022836678216787,51,0,1,0
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,9,3550.0,9.15467169938875e-05,47,0,1,0
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,14,2762.8,6.394324735178438e-05,55,0,1,0
